WBICs	Kw_relative_0.25	Kw_relative_0.5	Kw_relative_0.75	Kw_relative_1	Kw_relative_1.25	Kw_relative_1.5	Kw_relative_2	Kw_relative_4
2490500	22.3693368238991	17.1140505064711	8.93699373125171	6.76958491713034	6.1521815730202	5.82241516676464	5.70138294271257	5.4475139996838
2490600	21.5483889891502	21.422995174705	21.3175918200003	21.2720965675677	21.1549773831836	21.1396210843162	20.4800750066024	13.7465172356753
2491000	22.4692488286373	8.7505832023526	6.77747567942719	6.13515369712605	5.2574620983667	5.57749728931745	9.34048615479777	6.13835252670355
2491100	22.2079876063691	22.1288926079073	21.9462512760738	21.5071039506025	20.1157776477182	17.7180301517338	13.9156755543933	11.0318360659484
2491400	21.9828787154757	14.6090462138721	7.54400167253427	6.13700428631806	5.57105633967599	5.25542686642027	5.09119094512873	4.72511200061914
2491500	21.8212029957844	21.6918856894324	21.578292743264	21.4203223911727	21.2487347361542	20.972481357488	20.5626479704372	19.9469961402639
2492100	22.1631518759671	21.9627684386025	16.837099137303	11.2037958154809	8.95358942852539	8.25871272286504	7.55985302282339	7.70535077551985
2492600	22.1632203737076	22.1297918851436	22.0612490241601	21.808479002217	21.0480156085551	17.8256588800169	13.0754194607814	7.74378652561999
2492800	21.5501959401016	21.4646178704732	20.9902869351003	19.2327895339302	14.7942095997047	12.6431893597874	10.1043623340407	10.3113908064307
2492900	21.2419192205942	20.4523012229574	19.3803426974184	17.5697980344479	16.3519851280092	14.2144765523317	15.5041011266785	10.7795643520103
2493100	22.445414128101	22.4083577574191	22.1846478372619	20.5304690738866	14.7923281198296	12.0786446261869	9.55151413140508	8.83771811230981
2493700	22.4149457800469	22.2928303066177	22.1934391677061	22.0962123799471	21.9803197879835	21.8548731853933	21.4408307052144	20.7583398250389
2493900	16.4280948595938	5.74590560112337	4.90580145475725	4.65933972640884	4.54953133695664	4.65690379232127	4.67046643208497	4.67253185830282
2494400	21.2118447617255	21.1246574314231	21.0585753705381	20.9897860743254	20.6677239019889	20.5348516341509	19.590662766071	11.5694199400827
2494500	22.2694311398922	22.2182213872085	22.11794044335	21.7554507210079	18.8133657384988	14.5627274956482	9.92828843569406	6.96520768540075
2494700	22.1651413548125	22.0633299424782	21.9708117739064	21.5539127444424	21.0815892802972	20.2370554259083	14.337888001226	7.94074735644582
2494900	22.0682082379997	22.0052707364908	18.9454132017527	12.3403182973013	8.82719643736603	7.32164827916588	6.00745305877335	5.6043106059022
2495000	23.291660897393	18.4957263093213	9.50163753505185	6.6471707498362	6.08699222507959	5.70649624888299	5.47827370698068	5.48538709554123
2495100	22.7950885614758	19.9964489013878	10.7380701032878	7.56948494565711	6.75406494834055	6.24743491478341	4.93642596162816	5.93520978074292
2495200	21.8236350166531	21.956432657591	22.0586172918446	22.122649666619	22.151767608504	22.1012970024333	21.9575204485221	20.510021906458
2495300	21.6118703764642	21.4779566928739	21.3748662177844	21.3240089863723	21.304115717429	21.1680575413335	20.4938361624668	18.7847271524762
2495400	22.417469201737	22.2891425088608	22.1868687948232	22.0833605486482	21.955104445527	21.6820226428436	21.3415752652705	20.4443077152191
2495600	21.4109171592062	21.5665732346855	21.6590434174921	21.6868687439603	21.6101060442493	21.4515338983747	21.1781033703293	20.184641067142
2495900	22.0132508285167	21.4514510153876	16.9238510726842	11.3362325423141	9.12084201316226	7.94087135913083	7.14138554857709	5.56704436409347
2496100	21.612679015996	21.5284402983774	21.4557039422059	21.3423315181112	21.201557186752	20.9336979292214	20.5512178181	18.9735915464148
2496300	22.2458507951065	22.1987624829354	21.2644193915575	18.7612848912862	16.3608731182001	15.4539368757438	15.129113299332	16.0110304378884
2496900	22.0954487093248	22.044708126051	21.9588228219598	21.640765069695	19.7614385113427	16.4703399473867	11.5984207871841	8.99663016829195
2497000	21.2011582561076	21.1181475942205	21.0339493464692	20.803198468802	20.4337770122964	19.9849429474423	18.5327779403724	15.5092863884366
2497100	21.8888974136943	21.4177700934087	13.8255795093449	10.0418698207654	8.64894638131315	7.78289626143893	7.25643060803934	9.58129866894649
