observed	modeled
8.7203	16.158
23.661	48.558
0.30096	4.7264e-011
6.3998	12.738
3.332	8.6418
12.669	15.584
12.839	17.728
1.1213	4.1629
14.564	10.081
16.716	9.8675
13.405	5.7926
8.7165	3.8981
13.019	12.082
12.306	0.80775
5.8468	4.8388e-011
14.355	39.898
17.693	22.652
16.534	23.679
0.93785	3.2225
23.462	12.586
31.657	32.578
21.8	15.586
0.71862	1.9089
74.158	12.589
0.18997	-4.0303e-011
61.983	2.8218
30.11	-4.4869e-011
4.3029	-3.9035e-011
12.93	-4.1415e-011
50.05	-4.014e-011
34.166	-4.4682e-011
16.59	-4.845e-011
33.61	35.283
33.41	4.3765
50.807	-4.8478e-011
36.371	3.1957
64.52	21.992
0.31373	0.4622
4.91	5.2748e-011
15.842	5.378e-011
64.782	29.794
308.38	328.21
346.56	311.26
168.09	147.2
166.42	140.74
56.126	63.832
169.42	127.27
234.81	251.79
265.1	218.78
429.62	403.73
428.42	358.55
243.39	207.43
98.852	57.947
236.21	192.38
279.24	342.88
304.11	357.34
362.15	334.43
40.642	8.9719
31.523	4.794
2.8536	-1.6698e-011
38.429	20.944
49.242	11.749
25.124	12.723
37.894	2.7693
8.9918	0.094316
55.973	47.668
56.408	48.007
12.842	-5.8194e-012
20.98	28.513
58.348	57.552
38.095	4.1848
4.1169	-2.467e-011
54.984	27.282
56.048	2.0839
80.45	15.674
2.046	8.5942e-012
47.988	26.19
77.115	35.799
33.512	2.1167
75.409	15.52
63.715	13.489
21.223	14.683
48.446	4.9336
50.771	9.7605
14.88	-2.2714e-011
27.382	17.998
42.557	-1.1777e-011
13.934	5.2552
51.338	40.399
61.454	30.462
44.923	9.1494
68.216	17.962
0.66413	5.1887
28.676	27.415
0.6787	-3.0263e-011
2.6284	8.2458
3.6716	11.268
1.4443	-5.3672e-011
10.483	9.9984
7.6381	6.4358
22.497	0.0006578
5.9279	-3.5171e-011
3.1388	2.4598
3.0261	2.4163
9.9823	1.2226
8.5127	0.85066
0.78239	-5.1152e-011
32.792	0.16718
