observed	modeled
12.09	13.342
18.056	15.98
21.438	20.887
15.889	13.763
20.944	18.122
18.556	18.013
18.393	18.524
18.556	15.93
16.889	18.721
19	20.807
21.056	20.547
18.278	17.812
22.427	20.565
9.9189	11.658
15	15.056
21.003	17.934
14.667	12.338
17.525	14.417
15.597	9.8933
17.826	10.041
18.333	11.932
17.778	12.015
13.135	14.3
12.11	15.7
17.545	16.893
11.761	12.14
13.333	12.244
14.786	12.368
19.19	12.631
13.108	11.223
12.667	11.476
18.22	12.451
13.505	15.348
13.88	15.328
10.895	11.909
12.048	11.983
13.329	11.691
15.275	11.677
9.8289	7.2276
8.915	7.0139
11.297	7.4324
9.9045	7.8168
10.18	7.6514
9.3535	7.2964
9.9545	7.0726
13.716	8.0227
12.035	5.8604
11.059	6.414
12.004	5.7865
13.185	7.2095
11.802	6.5494
8.3512	6.7609
13.157	7.279
13.405	7.1114
8.7865	8.4402
6.3339	7.4063
8.8359	7.888
8.8266	8.07
8.5702	6.8994
9.0587	8.5166
9.6222	7.539
8.7318	7.3886
5.6061	6.6949
8.049	7.2855
7.83	7.5575
21.477	11.464
11.111	9.4736
12.033	11.226
13	12.923
18.657	14.667
22.412	14.034
10.827	8.7742
18.758	11.415
18.118	12.427
22.927	13.935
19.971	19.865
14.58	16.1
19.679	19.012
15.056	13.812
20.889	18.09
21.056	20.438
17.389	20.019
10	10.303
8.3206	8.4949
10.578	8.9278
10.192	9.393
11.003	10.009
11.667	11.483
6.3708	7.4715
6.1214	7.9414
7.8554	8.428
8.1579	8.8845
7.3933	9.6159
8.6153	9.5336
8.8153	10.09
6.6883	10.403
7.7778	12.804
7.315	6.4442
7.8805	6.9467
8.3108	7.1331
7.8133	8.0789
8.4992	8.1035
7.7778	7.5048
10.088	8.2475
10.489	8.4708
10.077	9.405
10	10.022
7.5385	8.7879
8.124	9.6421
9.0763	10.362
13.503	12.646
12.511	8.5151
8.8889	9.0203
9.4149	9.5093
10.521	10.186
8.6201	11.53
9.4875	10.48
9.4444	11.833
9.8342	10.474
10.469	10.946
8.9253	10.561
10.26	11.565
10.526	12.457
10.472	13.762
9.1059	9.8298
9.2903	10.309
9.4444	11.627
11.217	12.676
10.874	12.229
10.556	12.447
9.7583	8.9492
10	10.221
10.556	11.233
6.8894	9.1932
13.433	11.151
11.497	12.447
11.111	12.902
11.396	12.459
12.562	12.884
12.778	13.091
16.667	14.957
13.333	12.684
15.795	13.727
10	14.719
14.444	14.942
12.222	15.096
11.438	11.016
11.667	11.305
15.556	13.854
15.495	10.377
14.11	10.769
11.667	11.632
8.8333	10.418
17.263	13.531
16.111	13.543
16.493	15.352
15.8	19.317
10.752	9.1961
10.954	9.4019
11.151	9.7332
8.2033	8.9064
9.8058	9.3483
10.022	9.4927
10.118	9.5917
12.987	10.554
12.535	10.705
12.514	11.05
11.657	10.16
11.623	10.289
9.7137	10.051
10.682	8.1275
12.09	8.1968
11.661	8.4362
17.389	13.998
21.647	21.346
21.655	21.236
14.42	14.369
22.136	22.451
14.889	15.88
23.23	22.732
20.872	20.543
20.889	21.713
10.772	14.115
16.819	17.777
10.667	20.242
9.3212	10.549
11	15.122
11.667	19.38
11.556	18.711
12.919	12.545
11.477	12.608
12.667	18.58
10.243	16.729
10.278	18.677
16	16.833
16.543	15.817
16.667	19.048
20	22.983
15	17.137
17.222	20.995
20.763	22.002
10	11.895
7.957	5.7041
9.3858	7.6176
11.528	9.1912
11.111	11.189
11.667	12.899
9.5445	9.8127
10.165	10.929
12.222	11.797
12.357	12.209
12.283	12.612
13.481	13.292
10.723	11.637
10.701	12.402
10.186	7.2064
12.172	9.5474
11.926	10.279
12.222	11.603
11.6	10.625
12.437	11.366
12.333	12.314
12.662	13.025
12.778	14.026
12.52	13.682
12.461	13.804
13.056	14.595
12.056	9.8196
13.483	12.011
7.3009	11.526
10.556	12.451
11.082	12.616
10.406	12.627
11.257	13.352
10.556	13.146
10.329	12.33
10.459	12.776
11.114	12.817
11.193	12.491
12.778	12.925
11.111	12.631
13.889	13.36
5.5787	4.2634
14.444	9.8041
15.223	9.5029
15.556	10.291
17.778	10.932
19.444	11.203
17.778	11.075
12.222	9.1556
12.778	9.1774
13.333	9.5946
18.333	11.117
4.7794	6.8689
12.933	8.7402
16.667	9.2732
19.124	9.3552
20.869	10.291
13.987	15.856
13.333	15.855
13.889	15.514
16.111	15.761
14.444	15.386
10.708	12.48
12.778	13.21
12.778	13.164
12.778	13.674
10.67	13.953
11.667	14.2
15	14.565
16.111	14.62
13.047	14.857
15.889	14.365
16.692	15.162
11.248	11.538
10.975	11.576
13.514	12.169
16	12.621
13.167	12.851
11.133	13.466
11.838	12.8
13.137	13.475
8.6518	10.888
16.145	11.671
15.889	12.085
12.203	11.143
12.873	11.016
17.278	13.332
20.935	21.632
14.964	15.893
15.159	10.429
22.669	14.139
20.556	13.71
19.929	12.905
22.778	13.657
23.217	12.769
23.333	12.397
20.566	14.087
19.444	14.751
19.175	13.661
21.111	13.778
22.222	13.533
18.645	13.211
22.778	13.229
21.111	13.702
19.444	13.949
18.889	12.079
24.444	12.899
18.889	15.624
24.701	15.363
21.268	12.441
21.199	11.726
22.865	12.054
19.274	13.1
18.333	15.781
22.778	15.297
22.604	15.252
21.667	21.334
17.778	17.401
24.324	22.98
17.778	17.932
13.333	15.051
18.889	19.149
18.889	18.173
22.222	22.161
11.742	13.43
17.483	16.71
20.389	16.948
22.261	22.542
18.821	19.238
11.193	11.537
23.167	21.641
23.5	22.362
14.261	13.406
14.574	14.618
20.056	16.392
7.3588	8.9389
15.147	10.835
17.224	12.678
18	14.052
17.389	14.916
17.167	15.511
17	16.646
15.358	14.809
8.1119	9.9571
7.4383	9.4149
7.5594	10.211
7.1819	8.34
6.7671	8.0891
6.8941	9.0593
9.5528	9.9523
6.6938	9.0081
6.6262	9.241
6.3333	10.142
7.0265	10.534
6.2328	10.193
7.4566	8.6436
7.4843	9.6058
7.8792	9.9366
7.7577	11.084
7.5002	10.914
7.5232	11.007
7.8705	10.981
6.8498	5.7761
9.1467	10.217
8.6519	9.1121
8.1281	9.6127
8.1941	9.7725
6.023	6.6463
7.6179	7.9438
7.1902	8.1201
7.0983	8.7833
7.0963	8.9762
7.2648	9.3298
7.2333	9.7196
7.08	10.125
7.2033	8.1658
6.9663	8.9226
6.8553	9.3044
7.1756	9.773
8.4569	9.4424
8.1406	8.4439
8.276	9.7118
8.2791	10.745
7.6133	10.922
7.1435	6.0978
7.3216	7.1032
9.3802	10.053
9.7096	9.4189
8.8669	9.7524
8.9758	10.326
8.8158	10.65
8.5002	10.516
4.6177	6.5133
6.7821	8.1621
7.2545	8.3229
7.8959	9.275
7.4889	9.7687
7.4375	10.201
6.8581	10.492
12.778	13.219
24.444	23.407
25.41	23.444
22.778	20.808
13.333	11.063
21.075	20.54
17.475	10.076
7.8115	7.3628
11.425	8.1676
11.425	7.9844
18.847	8.1518
15.598	8.5501
12.672	5.4437
13.573	11.805
16.889	12.798
12.556	5.1668
16.973	8.9389
17.167	12.059
9.0484	9.4257
13.667	13.379
10.833	9.938
12.889	12.954
13.167	14.551
13.389	16.093
11.45	11.316
12.278	12.789
13.278	14.961
8.9957	11.357
10.5	13.341
6.3858	9.8894
6.7203	11.127
7.5625	11.544
7.2869	11.061
7.8941	6.0037
7.568	7.1524
7.9032	7.9585
7.504	8.4278
8.1667	11.134
8.3333	10.824
8.4031	11.124
7.6433	10.457
8.2814	11.143
7.4105	11.442
6.103	5.7946
7.0124	8.2729
8.2196	8.9886
8.0849	10.682
7.5549	8.0925
7.3001	10.88
7.5477	11.76
7.974	13.722
6.0534	8.5803
7.2081	11.744
7.9568	12.868
11.412	17.994
6.8065	9.0325
7.7159	12.394
8.5876	12.828
8.9188	13.439
6.1673	8.4311
7.2874	10.211
7.3934	10.782
7.92	11.842
8.8889	14.804
17.5	18.026
16.929	18.138
7.7015	8.497
11.246	12.181
17.114	9.3735
9.359	7.5738
15.329	8.6102
9.3378	7.9141
11.182	8.1987
6.1282	6.9241
12.995	7.9366
11.625	8.3427
11.22	7.6578
8.9602	9.0464
9.7925	8.2817
11.597	8.2655
11.667	8.4558
9.4444	8.5993
9.3969	8.4634
