WBICs	hc_relative_0.3	hc_relative_0.4	hc_relative_0.5	hc_relative_0.6	hc_relative_0.7	hc_relative_0.8	hc_relative_0.9	hc_relative_1	hc_relative_1.1	hc_relative_1.2	hc_relative_1.3	hc_relative_1.4	hc_relative_1.5	hc_relative_1.6	hc_relative_1.7
1831700	4.75464481542267	4.72915276304671	4.71292661516391	4.65116720330007	4.61846173414671	4.60076090227142	4.57441716250826	4.56225165216945	4.55410399263724	4.55175558545796	4.54862255266841	4.55047885390931	4.55339677860908	4.55163677856894	4.55341973104619
1832100	21.5847815701466	21.598087214025	21.5820671985611	21.5891609576358	21.5935384253436	21.5838517879232	21.5572736477991	21.5592852305714	21.5716457287959	21.5716457287959	21.5716457287959	21.5716457287959	21.5716457287959	21.5716457287959	21.5716457287959
1832200	4.60381936718323	4.5988595185644	4.59901283515959	4.54589854872334	4.52837289691191	4.45735609710834	4.48833057810032	4.74371486865534	4.74023022778347	4.73907856029608	4.4885346605111	4.47409635660719	4.47522873605926	4.47522469712685	4.47522469712685
1832800	21.6309496668189	21.6251700672075	21.6251512483014	21.620258078409	21.6201003316585	21.6199609638028	21.6297287768339	21.6168429182907	21.6113303808312	21.6113073118122	21.6398380295219	21.6399116642942	21.6399444469309	21.6126190092004	21.5983442738239
1833000	21.4918960544638	21.5336390413854	21.5424374700777	21.4863984422975	21.4515813021459	21.4128016731829	21.4281062374209	21.4275130337405	21.4048879545534	21.4222443186328	21.4428892670567	21.4348163596909	21.4348163596909	21.4348163596909	21.4348163596909
1833100	8.74698500857222	8.31295859065662	7.99924239891202	7.31175202199597	7.65768883502108	7.48051824563259	7.37726214140043	7.38379242771818	7.24190563417016	7.28387472633659	7.28305580144467	7.28305580144467	7.28305580144467	7.28305580144467	7.28305580144467
1833200	21.4845198323309	21.4677328875221	21.4609050528266	21.4239878099383	21.3999263703317	21.3900378635246	21.4050505044754	21.3803671289166	21.3790646841609	21.3790646841609	21.3790646841609	21.3790646841609	21.3790646841609	21.3790646841609	21.3790646841609
1833300	5.31799882782384	5.31038902965219	5.36491115984951	5.29781291269292	5.32547227510656	5.31865339405409	5.31826988494007	5.33663428067861	5.32911064492681	5.30559139668562	5.3289625617767	5.30799697462385	5.02285633192195	5.01121642207885	4.67249750308823
1833900	19.4425932989781	19.4425932989781	19.4425286344477	19.4425286344477	19.4401141507713	19.4401141507713	19.4401141470492	19.4390975961228	19.4390975961228	19.4390975961228	19.4390975961228	19.4390975961228	19.4390975961228	19.4390975961228	19.4390975961228
1834000	7.17040243174041	7.0440649031395	6.99772837326604	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914	7.06994989021914
1834500	20.5653693920204	20.5653575545677	20.5633441773529	20.563333300557	20.5640367091496	20.5567731156942	20.5566973890877	20.5624203779721	20.5470809014711	20.5446071712743	20.5457842986447	20.5457842986447	20.5457842986447	20.5457842986447	20.5457842986447
1835000	7.19130482311601	7.27456608759978	6.6519303295039	6.33393130822258	6.15237092055159	6.08444026114828	6.06675929977914	6.08744309357316	6.08744309357316	6.08744309357316	6.08744309357316	6.08744309357316	6.08744309357316	6.08744309357316	6.08744309357316
1835100	6.3724985408695	6.36693080146265	6.40833153347784	6.32988151975572	6.32831024362077	6.32870285531321	6.32581715852421	6.22932028543186	6.10132171795119	6.05951883470463	5.93637542689946	5.73224285387967	5.26584629128495	5.21958396905616	5.1594789443171
1835200	19.6417630894991	19.6413220838636	19.6382931510377	19.622371186896	19.6410969897037	19.642090883827	19.6484410025083	19.641008509681	19.641734661474	19.6424073921687	19.6413864474667	19.6449832941809	19.6453209543462	19.6340218580396	19.6433356749972
