WBIC	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
WBIC_1020300	13.6698790392468	13.667016536086	13.7085511317462	13.9337536293056	14.6123465270839	13.726042622571	14.3624821604018	14.700383822624	14.2478257308519	14.3906129752506	13.9949703840875	14.0867512906717	14.2461450444335	14.0865810539349	13.4789869060325	14.6486933405785	14.1237712137647	13.5205665106137	14.3632660502515	14.0095983531646	13.7424694254666	14.1905734985997	14.1643279827551	14.6686172055972	14.5053023447975	14.2915734259405	15.1032919565721	14.6390479244373	15.0943300307706	14.6738848716665	14.0673868840946	15.3113429299235	14.2585873392605
WBIC_2694000	10.5835397684522	11.280324925374	11.4140514827395	10.7779124051269	11.2653820302182	11.1424670567825	11.7283261928726	11.9295313273297	11.1917970099516	11.0142046321895	11.2507678932876	11.4570415506655	10.9461700700928	11.1898834722637	10.0762957225098	11.0695795071084	10.8922966178461	10.6796300277351	11.1901462493462	10.9224061690809	10.7920419445298	11.2266125858039	10.9249264426048	11.370969424042	10.9185934410426	11.2141889050852	11.9489854366293	11.5095958674437	11.0774434175683	11.618071504691	11.428250528456	12.1434076322962	11.0519315929589
WBIC_2903700	15.118881423195	15.6372443391265	15.4381113089206	15.5515353264468	16.0970164312793	15.921061456378	15.3251992770967	15.9272446779851	15.9333249958226	16.330792445762	15.7802386343295	15.5625732009808	16.0196912867775	15.2901989776921	14.6639867188509	16.1340956166018	15.6906063323885	15.7920132215274	15.7112519002196	16.0270666403214	15.0896259394392	15.8601914025083	15.5737367683416	16.2276850817132	16.4879500781761	15.2038361055461	16.5376657763084	15.6785373140957	16.3094435249438	16.0403463219495	15.4412355665726	16.298792634222	15.976363628984
WBIC_977500	10.6944126866596	10.7069991617515	10.4881533274835	11.8241852124461	11.5197106214905	10.6132321027116	12.0785104995585	11.5720479322298	11.8047472758618	11.2643486872568	11.1878837873641	11.8987864605049	11.1056393880099	11.1449392894241	10.6604949388042	11.6302812719052	11.0019691609293	10.5949264052872	11.6200954753318	10.7875496713545	10.9160315015832	11.3734903261797	11.2157402130886	11.7354295560979	11.2390282453847	11.6896446994969	12.1843237492388	11.6789145699706	11.3804685048632	11.8966146825964	11.6513546772685	12.3300704861611	11.4571905263675
WBIC_2903200	14.78094019535	15.1790910959315	15.3186870352301	15.1185828417926	15.8264317085687	15.7882420612875	15.1091768203175	15.78854345279	15.482872792315	15.9644120106209	15.5863543008921	15.3313957574876	15.6648383362538	15.0274191329488	14.4540006882233	15.8969753803539	15.3342272577219	15.4181090581994	15.6194761207467	15.7201511953069	14.7411531419991	15.6457690439401	15.2591434410425	16.0436850763752	16.2375219187104	15.1280851364369	16.294190873156	15.5261502031722	16.1003534753843	15.9318417853555	15.222179868532	15.924377260558	15.8901086934937
WBIC_265100	11.9138067228259	11.7709935179482	11.8291137844209	11.9916924555735	12.1660259984252	12.0380286359414	12.384084928623	12.3532226001809	11.9557320481591	12.0071515522619	12.094407708032	11.8207300132337	11.9490999704981	11.5182289716606	11.2949998867338	12.4063399387389	12.1170506028601	11.6119460301586	12.2215168053158	11.9201767425182	11.7775892921936	12.2919631363805	11.743713808544	12.120502581772	11.9865840726622	11.7803609852802	12.6918574408679	12.1983517070064	12.7416806190619	12.3453496520697	11.9179113016105	12.5627648569325	12.0771121833274
WBIC_990700	17.0198516003879	17.4777149316697	17.496158769216	17.594898008918	18.2134254446412	17.4127000585895	17.2089754865716	17.9878467878275	17.8974914420613	17.5097745172052	17.589595238382	17.101333424813	17.7989826658685	16.7726083786664	16.4142406727012	17.4788139005963	17.503635424885	17.2793700054247	17.4825629561637	17.6596751778007	16.7599558848424	17.0201197308083	16.9265843681973	17.6738833387407	17.8115311999145	16.4790421396602	18.1991964513558	17.375696472851	18.0360474287136	17.2489157048366	15.9701872999793	17.5852222137407	17.2154034512899
WBIC_2495100	13.3982923545008	13.5972388835105	14.022654865707	13.4939738722169	14.1999068335831	14.0247595102428	13.6720227279817	14.7465709259844	13.4785740126746	13.6293044547579	13.7452323133208	13.4424856247524	13.5679452655225	13.1984296128449	12.636237691303	13.8709997908206	13.5302445574874	12.8603729566007	13.6062589088622	14.0125475187405	13.3132296074722	13.7314028432068	13.3049391430427	14.0041315248876	14.3179742087387	13.9035224175726	14.4313911260922	13.6934910836176	13.5150766477028	13.9155169118222	14.0034823837434	13.6774927411015	13.832519067667
WBIC_2391200	15.7475839325245	16.3662473521638	15.2558672481059	17.2683971239704	16.5530714839367	15.46432909898	16.2945888187025	16.8580527328803	16.7896499894141	15.4002836591694	15.0511112570513	15.942696912898	16.9557356558287	16.2774269001827	15.9689977073807	15.7408256036639	15.054923810278	16.603015188736	15.8155155967335	16.5701607910211	14.6318921005052	15.3521395467513	15.8916409622922	15.8292693594358	15.8471282489036	16.3469523965542	17.2230619388825	16.3632268784433	16.6556361427562	16.0839309520441	15.41737068336	15.9329288160948	16.1894903144335
WBIC_2479900	9.32790473603789	9.5184116977734	9.70977248930351	9.64295283505123	9.66815470557376	9.72379739229709	9.51800713609569	9.54833735138205	9.56833057856219	9.79765164850718	9.47877515731379	9.68131154971012	9.60701757015361	9.14927860193225	9.30168220414459	9.69686722405838	9.632144810348	9.2490252600088	9.74931572311738	9.68356817689819	9.42062638587103	10.0615968266842	9.45238914106058	9.66360340074757	9.71913117861223	9.46974412799783	9.91095705889609	9.42955031498265	9.98157433516262	9.70638894011337	9.55098863849675	9.8788162041485	9.66629486579126
