WBICs	hc_0.5	hc_2.66666666666667	hc_4.83333333333333	hc_7	hc_9.16666666666667	hc_11.3333333333333	hc_13.5	hc_15.6666666666667	hc_17.8333333333333	hc_20
1018500	19.8843682862569	19.867866392572	19.8604637292586	19.8889009944209	19.8714783259835	19.8813837480868	19.8678230455643	19.8460757163002	19.8141450532356	19.7749066600411
1018900	19.9908381290336	19.9882808079693	19.9881831963703	19.9772642145879	19.9911061615716	19.9938570605109	19.996404903357	19.9707047038364	19.9804710672311	19.9804710672311
1019500	6.4888227933337	6.46874388634811	6.06398274042215	6.0438138544237	5.92895652703605	5.89512529658433	5.77785262757975	5.75011261565882	5.73832863705842	5.70819342734574
1019800	19.7539818628078	19.7065281105834	19.6642040049817	19.5757238260071	19.5672888972442	19.5545434136492	19.5585260734873	19.5585260734873	19.5585260734873	19.5585260734873
102000	22.9106927126228	22.9016731693433	22.9030871261511	22.9030871261511	22.9030871261511	22.9030871261511	22.9030871261511	22.9030871261511	22.9030871261511	22.9030871261511
1020300	9.55541259150334	9.3910240181673	9.21221278205873	9.15486650524057	9.05476560819807	9.00369508396747	8.94941335650813	8.90312552231179	8.89808125006128	8.86853594583354
1021100	20.3033574360872	20.2693808880825	20.2968925980257	20.2644201019857	20.2644201019857	20.2644201019857	20.2644201019857	20.2644201019857	20.2644201019857	20.2644201019857
1021600	5.90262181629851	5.66591728549728	5.33132487577732	5.33132487577732	5.33132487577732	5.33132487577732	5.33132487577732	5.33132487577732	5.33132487577732	5.33132487577732
1021800	19.4418962842175	19.1350188169463	18.6284732565278	18.4163239794789	18.4163239794789	18.4163239794789	18.4163239794789	18.4163239794789	18.4163239794789	18.4163239794789
1022900	19.3802259868331	18.3256447004672	18.3689529956897	17.0500415586603	16.6878798191212	16.3429732032759	16.3747824928158	16.1750053522576	16.2058980850723	16.2058980850723
1023000	7.5832704082896	7.49683423288251	7.2580811298147	7.13470478443296	7.13470478443296	7.13470478443296	7.13470478443296	7.13470478443296	7.13470478443296	7.13470478443296
1023100	19.9186316410773	19.6051553573854	19.5226635946784	19.3855843426331	19.0842929519645	18.8693447656373	18.8693447656373	18.8693447656373	18.8693447656373	18.8693447656373
102600	8.52139059882842	7.93413116443213	7.72679542671977	7.72313098294658	7.13599889770345	6.77712606614539	6.77712606614539	6.77712606614539	6.77712606614539	6.77712606614539
102800	7.9647869815195	6.76492208850852	6.38941168651431	5.62569730188405	5.70910537177469	5.70910537177469	5.70910537177469	5.70910537177469	5.70910537177469	5.70910537177469
102900	22.2901510303386	22.27893702243	22.279548937533	22.287338683684	22.287338683684	22.287338683684	22.287338683684	22.287338683684	22.287338683684	22.287338683684
10300	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037	23.7405445329037
1030260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1030400	22.0952138829386	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783	22.0582913460783
103300	5.46115507086005	5.12520183225386	4.99013603054634	4.83840518792953	4.51791561997229	4.51791561997229	4.51791561997229	4.51791561997229	4.51791561997229	4.51791561997229
103400	23.116571766663	23.1024250457658	23.0881293248242	23.09939338107	23.0994923374556	23.0994923374556	23.0994923374556	23.0994923374556	23.0994923374556	23.0994923374556
103600	22.6589144225553	22.6311714125893	22.5713394260939	22.4164102803263	22.3102382723203	22.2679022789218	22.2790676008957	22.2790676008957	22.2790676008957	22.2790676008957
103900	22.3685208881947	22.3685208881947	22.3685208881947	22.3685208881947	22.3685208881947	22.3685241313254	22.3685241313254	22.3685241313254	22.3685241313254	22.3685241313254
104000	5.52220274152669	5.55569355576186	5.53555667710984	5.41326954214202	5.49128160651363	5.40391089200513	5.35289750581095	5.14259257377761	5.08971976396975	4.71381280014933
104200	23.1200908414276	22.471463102908	22.3033676298891	21.9882076661191	22.5308620121839	22.3836698594041	22.3836698594041	22.3836698594041	22.3836698594041	22.3836698594041
104300	13.7672002520949	13.2801502869471	11.4459017595325	11.3983387172304	10.7795093531052	10.7795093531052	10.7795093531052	10.7795093531052	10.7795093531052	10.7795093531052
104600	14.7529886460996	13.8114130212961	13.2269157097277	12.1254972365949	11.2295468268565	11.0406447201022	11.0406447201022	11.0406447201022	11.0406447201022	11.0406447201022
104700	20.6286762367905	19.0149028209681	18.4624541060441	17.6498866523265	17.0331944403055	16.7858767384348	16.7858767384348	16.7858767384348	16.7858767384348	16.7858767384348
104800	19.7883270024322	17.7465021644566	16.8303940849537	15.8400310429038	15.8400310429038	15.8400310429038	15.8400310429038	15.8400310429038	15.8400310429038	15.8400310429038
