WBIC,mean.summer.flow.cfs,med.RT.days
485200,0.42,41
719300,1.46,47
803700,205,81
825000,3.01,53
1447400,2.82,48
1482900,1.87,49
1575400,0.87,46
1594000,4.16,51
1597200,1.69,49
1597600,12.9,62
2100300,10.8,64
2112800,52.1,72
2330700,6.68,55
2670600,23.8,66
260000,0.29,41
1252600,0.96,44
1558200,1.65,46
717200,1.32,48
2072600,1.18,47
2347100,0.67,45
2740100,0.52,44
632600,0.41,42
1405900,0.78,45
524900,0.59,46
249300,2.26,55
1517900,19.5,62
2306300,39,77
2334400,80.7,82
2433100,1.29,56
2700200,2.01,58
2706300,12.7,66
684600,0.58,48
577600,0.34,48
2499300,0.66,48
2650100,1.83,53
261200,24,71
2261900,0.39,50
2342400,0.31,46
456200,0.45,48
524000,0.47,47
1026460,0.25,43
1324700,0.51,48
2100500,0.2,43
36000,1.07,56
398600,1.35,54
489800,1.24,55
1493600,1.46,57
1585600,1.18,57
2235300,1.84,56
2268300,52.6,84
2305400,0.85,52
2350400,13.5,71
2406500,11.8,76
2627000,18.3,74
2857700,3.03,64
2964800,9.48,71
826400,6.07,69
852000,2.06,59
2625000,1.26,57
2669000,1.73,57
2674700,1.37,56
1628500,0.52,51
1945400,0.43,51
2331200,0.54,51
2918500,0.46,52
376900,18.6,81
639000,0.2,52
702400,4.01,72
1540300,5.33,66
1605200,16,72
1611700,46.3,90
2309300,2.22,60
2401100,9,80
2420000,4.34,72
2429300,18,72
2616200,9.42,77
1587100,0.74,56
249800,0.57,54
298700,0.17,49
417000,0.28,51
2316900,1.39,59
2354600,0.17,51
2276600,0.3,53
2944500,0.56,54
490000,0.89,63
1493700,1.23,62
1766800,0.49,60
2113000,46.7,96
2329400,60,96
2635600,1.15,63
2722800,5.39,77
2743200,3.96,77
2953100,18,87
2960600,3.77,71
60900,0.87,67
67400,5.99,80
623400,0.17,53
2273400,1.22,63
2291800,2.12,63
150900,1.41,62
1540700,1.37,66
2696900,1.97,64
1035800,0.2,55
321100,3.86,73
358700,1.04,67
486400,2.44,72
519200,1.57,70
628400,0.91,65
802600,241,110
2267800,55.7,100
2269900,2.55,71
2328900,3.19,80
2401300,6.37,82
2641400,1.73,71
173600,0.48,62
2880300,0.72,64
414900,0.29,60
2337100,0.34,61
98900,0.23,59
443500,1.93,72
478200,3.16,77
533800,1.84,73
674100,0.67,67
1523500,7.17,90
1574300,6.35,91
2208600,0.29,62
2638700,32.8,100
2692200,10.1,91
2866800,0.58,68
484400,0.71,69
799300,0.71,67
1632100,1.03,67
2323200,0.58,65
2651100,1.37,70
2904900,4.01,86
2175400,0.44,66
2177000,0.14,57
675400,0.44,68
823700,2.04,78
848800,56.2,120
1547700,21.2,100
1571900,0.41,65
1619100,12.4,100
1761900,0.3,68
2334900,10.1,89
2639300,30.7,110
2685000,2.84,77
2741600,73.2,120
2742100,67.4,110
2918600,6.38,95
1249000,1.83,84
2382200,0.62,72
2630600,1.85,76
2675900,2.15,78
163800,0.22,64
455900,0.6,69
1267000,0.18,64
1490200,0.52,68
479700,1.46,79
1586300,1.21,78
2239400,9.78,100
2436000,8.58,100
2903400,0.91,83
457300,1.77,79
339500,2.17,81
1543700,0.42,71
693000,0.4,71
1770100,0.5,74
518300,9.49,110
547100,0.21,72
827100,28.1,100
1559200,2.53,85
1571800,1.23,83
1609100,63,130
2407900,0.52,79
2649800,35.3,120
2902900,10.7,110
22200,0.68,78
281900,0.6,84
447400,0.45,77
477100,0.93,80
2546500,0.51,75
2896800,0.31,74
1184700,0.14,69
2334610,0.1,68
2346300,0.18,68
43700,2.33,98
759000,1.37,97
97900,1.46,86
2174400,0.77,84
2384000,1.2,88
25600,0.61,90
151300,0.17,72
1813500,0.76,81
2898500,2.38,100
2961000,0.33,76
255600,0.29,79
373500,2.33,100
810200,0.31,86
1482400,6.72,100
1518200,15.6,110
1542300,44.5,140
1612200,43.2,140
2120700,0.15,75
2149400,0.45,82
2667300,2.55,100
1578400,1.48,93
2630500,0.77,87
2676400,0.93,95
2963700,0.94,90
486700,1.93,97
615200,0.51,91
627700,0.47,89
1450600,0.24,84
2209000,0.63,89
2285200,0.42,84
2709100,9.93,120
1583000,1.06,91
705000,0.35,85
1490000,0.36,87
1624600,1.05,94
2387600,3.05,100
2631700,0.96,92
2676300,1.33,100
2950200,0.34,85
56600,1.12,96
1541000,0.89,89
269700,0.15,79
446200,0.1,77
1301600,0.12,77
677100,9.09,130
2165700,2.38,110
2399700,607,190
2640700,6.33,130
2675200,134,160
2964100,15.2,130
1850900,0.88,93
2105900,0.96,100
2419800,2.01,99
300600,0.18,81
1143000,0.15,85
131100,3470,170
706700,0.91,100
837300,0.94,110
2241500,0.52,94
2426400,2.05,110
2841200,9.54,130
2882300,9.76,130
2054600,2.76,110
2395100,9.67,130
2669300,3.13,120
403100,0.99,100
650000,1.77,110
544300,0.14,83
388100,21.8,150
397100,4.81,130
530600,0.49,98
1541100,5.7,120
1576600,2.08,110
1613000,35.2,150
2098000,8.69,140
734500,0.44,110
2946200,0.21,90
22100,2.66,120
58200,0.34,94
671300,0.43,99
1214700,1.02,110
2346100,1.06,110
2347500,0.27,91
523100,1.79,110
2336000,0.12,86
340100,7.54,130
768800,7.29,140
1528700,3.9,120
1597000,22,150
1598000,9.02,140
2895400,0.48,100
658100,0.45,100
2945000,0.38,100
250000,1.27,120
1616600,1.25,110
2640300,0.73,100
2752000,0.48,110
35000,0.21,96
566200,0.25,95
1406500,0.77,110
1524300,3,120
1411500,0.07,88
337600,3.57,140
340400,1.87,120
350900,2.33,120
611300,0.88,110
1623400,16.9,150
2100800,9.34,150
2254800,2.98,130
2336700,1.99,130
2665700,0.81,110
1619600,0.87,110
2438200,1.39,110
2612500,0.37,100
2919900,0.43,100
459100,1.04,110
708600,0.06,87
2728900,0.23,110
530400,2.48,120
555400,2.85,120
683000,7.88,150
2109600,110,170
2335500,6.8,140
2395500,8.71,150
828600,2.96,140
2516600,0.23,100
2696700,0.15,100
392100,6.51,150
850800,37.2,160
1548900,0.75,120
1566300,0.41,110
1581700,10.8,140
2420100,2.8,130
2631200,9.92,160
1506400,0.62,120
2303100,0.65,120
851700,0.29,110
1439300,0.3,110
1583600,0.49,110
1618900,0.39,110
1627300,0.35,110
2079600,0.39,110
2416300,0.28,110
2917200,0.85,130
262200,0.7,120
553200,0.11,100
768200,0.29,120
2708500,0.9,120
2196500,0.3,110
2962800,0.18,100
2107700,2.44,150
2234600,4.41,150
2618000,53.4,190
2665900,1.76,140
37900,3.6,150
1214500,0.86,120
2380100,0.74,120
2343900,1,120
2236200,0.16,110
546300,0.73,120
853200,9.06,170
1621000,9.02,150
2331000,0.79,120
2715900,3.4,160
494200,2.85,150
42700,0.15,110
454900,1.42,130
625900,0.48,120
2322300,25.6,170
2358400,0.52,120
2960300,6.35,150
1867900,0.48,120
2079100,1.32,130
2606700,0.67,120
325600,0.34,130
493100,0.62,130
628000,0.22,110
340200,4.1,150
526900,0.33,120
761700,23.6,190
830800,2.68,140
1610800,7.19,180
2299300,4.71,170
2310800,6.68,150
2328200,2.84,150
2394600,0.8,150
2855900,0.35,130
629600,0.16,120
2064000,0.08,110
389300,11.4,170
525900,56.3,210
534000,0.17,120
835100,70.5,220
1630700,6.23,160
2313600,5.51,180
2318500,2.65,160
2378200,1.06,160
2641500,1.01,150
2705000,8.15,180
2734200,3.22,170
613300,0.16,120
770600,1.76,160
2349200,0.38,130
2896600,3.6,170
117100,0.61,140
2270000,1.12,140
2271600,18.6,180
2627800,2.27,150
2656400,4.65,180
1513700,0.55,140
2186200,0.4,130
2659700,0.34,130
2903100,10.2,190
35900,1.4,170
179800,30.8,210
246500,3.98,180
2171600,5.15,170
2303500,12.4,200
2741700,1.42,170
2964400,2.66,160
1556200,0.52,140
2239100,2.52,170
706400,0.47,140
1851500,0.66,140
2743000,0.21,130
581400,1.13,150
2742700,60.1,240
2963800,23.8,220
