lakeid,kd.avg.change,durStrat.avg.chng,max_schmidt_stability.avg.change,mean_schmidt_stability_JAS.avg.change,mean_schmidt_stability_July.avg.change,SthermoD_mean.avg.change,lake_average_temp.avg.change,mean_epi_temp.avg.change,mean_hypo_temp.avg.change,mean_surf_temp.avg.change,mean_bottom_temp.avg.change,mean_bottom_temp_365.avg.change,mean_surf_temp_365.avg.change,mean_1m_temp.avg.change,mean_surf_JA.avg.change,GDD_wtr_5c.avg.change,GDD_wtr_10c.avg.change,volume_mean_m_3.avg.change,simulation_length_days.avg.change,mean_volumetric_temp.avg.change
16600,0,0.757575757575758,-0.0115017586886118,-0.00323348594995521,-0.00266932733477615,0,0.0132273239572788,0.0778957618712121,0.0778957618712121,0.0253853981382152,0.00917539487350904,0.0212484038411455,0.0335814310055697,0.00924596620682725,0.0402631004221788,10.6069621681479,7.2774273489015,-55.7576188604878,0.424242424242424,0.0172612887800303
19900,0,-0.53125,-0.0134833696384778,-0.00285963460368416,-0.000782404919736397,0,NA,0.0614386060232187,NA,0.0500724814673,0.0444731378870687,0.0450161316336344,0.04974975290815,0.0464640125315968,0.0662356928270063,16.4054639351066,11.1754798894453,-46.7208467430312,0.4375,0.038128159798425
25100,0,0.818181818181818,2.41154495747718,0.306759696849726,2.758152265204,0.0225631407563146,0.0355034179289848,-0.0130773389272152,-0.00274063262462999,0.0337312209347394,0.0122498823033403,0.0106816891507327,0.0338821338670636,0.0271758796667455,0.0439457718384061,10.9103374514582,5.90582185579212,-3929.99472245574,0.303030303030303,0.0333274685842091
25300,0,0,0.00881058347706837,1.06494128249317e-15,1.69298834522861e-15,0,-0.0227835538137749,-0.0884634539108594,-0.0884634539108594,-0.0271785281243156,-0.0218891181170906,0.016764605425825,0.0128174804703031,-0.0215723331112813,0.0589239290782563,4.79132310040031,3.36989631927,-2874.24910429906,0.9375,-0.0242064265415874
25600,0,0.606060606060606,-0.0156984505341427,-0.000836628402191004,-0.000240955927592856,-0.00757575757575758,-0.0526492833755637,0.0160197304326939,0.0160197304326939,-0.0549084757255484,-0.0526488397291121,0.0235219658911728,0.0238266252097667,-0.0525250895912515,0.0277803517891242,8.88079894048243,5.3363729364097,-887.192586630394,1.66666666666667,-0.0425248210893939
27500,0,0.375,1.32728253338965,0.648900871155,1.48258537110205,-0.112923627942569,NA,-0.130632466043592,NA,-0.0167148867714125,0.0223255498893667,0.0349467508966325,0.0232370908189375,-0.00889168505216246,0.0975179119905124,9.05044621285085,6.44357663813917,99.7946196501677,1.04166666666667,-0.0114850783762959
28100,0,0.696969696969697,1.63152389862088,-0.0503442049123609,1.03603391043212,-0.00257651697312274,0.0411714936648819,0.00660174605450003,0.0567295567809712,0.0460359980464394,0.0661041123742418,0.0499450138121637,0.0404687247968606,0.0366615973171121,0.0492698018665485,12.564568384573,7.32413725456122,-876.185589628485,0.242424242424242,0.0399711920413394
28300,0,0.666666666666667,1.40782470710854,-0.0997285604261302,0.889657849809121,0.0453220087131451,0.0183438424322939,0.136593895137336,0.0892825254245318,0.0154034010395607,0.0280033569183348,0.0262607341817979,0.0324839123169667,0.0117539935797424,0.0380044905592848,10.8522716875727,5.98613728309576,-894.237976195756,0.606060606060606,0.0190833878554848
29700,0,0.575757575757576,0.846834862449361,0.0975730727558782,0.457376183914718,-0.00401511603075817,NA,0.0456789691877,NA,0.0094214111503152,-0.00844478271366969,0.0168534207418485,0.0365793698467576,0.0103928959565455,0.0475810053638545,11.8118869507036,7.36539253072697,-586.689673498149,0.818181818181818,0.00675747110629388
30300,0,0.393939393939394,0.757114723084297,0.13538591002437,0.549089180263888,-0.00659384086381302,NA,0.0302245131770697,NA,0.0340920511736848,0.00660386115902119,0.0206235463590394,0.0430393275663091,0.0295809704041454,0.0518981597378666,13.5223684395258,9.15079887063667,-2776.45747115364,0.545454545454545,0.0264838773228697
32500,0,0.727272727272727,1.4351562497763,-0.0332041618534247,1.36601608385636,0.00900787108423545,0.0259940445736818,-0.0277004570943363,0.0164099904598251,0.0173680997231575,0.0391227781249509,0.0329384508413548,0.0354935699768878,0.0173665988590423,0.0436408946527031,12.0837719682461,6.83196537417849,-1575.78041392697,0.666666666666667,0.0255390538928667
