WBIC,Secchi_satellite,Secchi
2100300,2.891783474,
2100800,1.216172281,0.9
2103200,1.06348447,
2103900,1.933370663,
2105100,1.93561842,
2105800,1.420115066,
2106800,2.294853222,3.6
2107500,2.516370873,3.4
2107600,2.378240518,4.2
2107700,1.12241061,0.6
2109300,1.477028668,3.9
2113300,1.156171345,1.8
2114300,1.617134111,1.2
2125400,0.973658908,0.9
2128100,1.45156367,1.2
2135600,2.154535039,
2150200,2.78378168,
2157000,0.799807249,0.6
2160700,3.774481141,0.6
2166100,0.94632878,2.4
2169200,3.485459028,1.8
2173900,1.465413409,
2184900,3.131900537,1.2
2202600,2.705315446,3
2229200,2.422556135,2.1
2230100,2.267953304,1.2
2234900,4.238531917,3
2236800,1.057330399,1.2
2239100,1.862052556,2.1
2240000,1.976943286,1.2
2240100,1.871700931,1.2
2242500,1.825828258,1.2
2244200,1.474450191,2.05
2245100,2.164691259,1.2
2246500,1.135713724,1.05
2252200,2.39064523,1
2256800,3.264795771,0.6
2263400,0.715806632,0.6
2264000,3.822902416,2.783333333
2264200,2.223208039,3
2265100,3.892103792,
2267100,2.932849365,2.6
2268300,1.227846264,0.9
2268500,0.865412652,1.5
2269000,2.420549827,3
2275100,3.221926056,3.9
2275300,2.82000908,2.1
2279800,3.230529373,2.85
2282200,2.113228286,2.4
2288900,,1.2
2297800,3.456846097,1.8
2298300,3.162115498,1.2
2300600,2.157300518,1.2
2301800,2.675853958,
2303500,2.728907396,0.9
2306300,3.826077264,1.8
2307300,1.4352225,1.5
2307600,3.682705907,1.8
2309700,1.884351657,2.033333333
2313100,2.139904606,1.6
2320500,3.985051484,5.15
2321100,4.340087928,5.3
2323800,4.173371376,4.8
2324000,4.341677411,4.2
2328900,2.707478119,2.7
2329000,3.650001047,3
2329800,2.213410358,2.388888889
2330800,3.013322663,2.4
2331600,4.575710273,4.7
2332000,1.462197083,2.4
2332400,2.918095375,3.983333333
2336800,3.032794595,2.333333334
2350600,4.18041055,3.9
2353600,3.92468783,3.6
2359700,0.935313393,0.9
2385100,1.439458649,2.4
2390800,4.095776167,4.5
2391200,4.189797465,3.6
2393200,1.856008882,3.3
2395100,3.59294369,6
2395600,5.058131248,5.4
2395900,2.506819369,2.4
2397400,1.836528817,1.8
2399700,1.52545671,1.8
2400000,3.107989972,1.05
2400600,3.310898998,1.2
2401100,3.380733915,1.45
2401300,3.223508426,0.9
2402200,3.137133543,0.9
2410400,2.851360615,1.2
2416900,2.071003117,
2417000,1.211124004,3
2419000,3.004373544,4.2
2420000,2.649326127,1.2
