WBIC	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
WBIC_747300	13.700565209443	13.204443344425	13.6861160465357	13.5606683608955	13.6240269911588	13.8513181279451	14.3528259238593	14.8389706261572	12.7950892141251	13.4480239516739	13.6828280194547	13.537933497755	13.8677862631773	12.7700218177976	13.099087546687	14.4136501332262	14.2429273209269	13.3338050574347	13.6656903574599	13.5922346534516	13.9181598107896	14.0663218397115	13.9464416587824	14.0129552188813	14.1519727171571	14.2502042854812	14.8159855986262	13.3344291393385	14.7137485927607	15.3833952294726	13.8144382718515	14.5199178779564	13.6237623849068
WBIC_1613000	13.8166281473379	13.7554568766457	13.2817383120893	15.0502892337377	14.6558907661729	14.5672614448295	14.866848787841	14.9662974916064	14.7744135514272	13.4169018946704	13.0789288954676	14.4204329025665	14.2636969078464	13.5105987201809	13.1337224083279	13.8500131964915	13.6391138470676	14.4446961041726	13.6711422499156	13.7366128855387	13.2287677865531	13.7876340122205	13.5715917639451	13.8435657740132	14.2758631019313	13.8523845016023	15.3805437064646	13.6266639089218	15.3663317734869	14.4941421024399	13.2390379025902	13.4711802470679	14.1230220570503
WBIC_103900	18.1557184858846	17.210772736116	16.6039792664273	17.5359112144102	17.5763743577031	16.920167175614	16.8525435140073	17.7665219464429	17.5026727197799	16.3943159826382	17.6584454109431	15.8277102128333	17.7261608561232	15.7069611961068	15.3468373756405	16.6541185740357	17.0477964111247	17.5155937302079	17.5006257204534	17.5360822521748	16.2280929789481	16.4597325507664	16.4460455896224	17.0026435063844	16.9329066854657	16.9107199048384	18.0154931426541	17.6255498001791	17.9446275966873	17.869191928284	16.1422530011221	17.2598267541449	17.0330627917167
WBIC_1437800	16.5122454001878	16.5837670192711	16.1435414896839	17.1803367330626	17.297424056102	16.2392374126572	16.6317521017035	17.0353160464843	16.7547502501988	16.6278738016398	16.5184395956704	15.7658799030686	16.7147127674635	15.5620986998008	15.4374275487217	16.5113289512039	16.4910094903901	16.4164486349751	16.5833389240642	16.6018124925723	15.7879328346342	15.9598228156114	15.9873959496454	16.568284206596	16.8486619856463	15.4185026514911	17.5449077555553	16.5784013333195	17.2307578943717	16.3893333074993	15.0973785548092	16.7691194073158	16.1663395494612
WBIC_2106200	13.1881871426777	13.3846829381382	12.941107357961	13.3593909925714	13.5130753844058	13.7145353778817	13.4653252928906	13.8936930589289	14.0074953274503	13.0510627766334	12.6285081917408	13.3476127701738	13.2796848738947	13.1856599322141	13.1639202144088	13.8797452048053	13.6054302244959	12.9516915509813	13.6163959153528	13.4377675329496	13.2866466311487	12.9695917341223	13.3766629686186	13.987737992287	14.3241435389365	13.6319376632677	13.8780455766362	13.5742480207262	14.7997775994318	14.27830128034	13.4985654411109	13.8009489602892	13.5883329208445
WBIC_2288900	14.1490981978035	14.2188764846849	13.7996346978077	14.1872717779341	14.9468867415748	14.6327165093752	14.4967889377863	14.7371805132326	14.7469098805628	14.3015355719368	13.5501343384559	14.5965956937149	13.9519258591112	13.8780706905924	13.7829464197044	14.1910519686391	14.1773766650387	14.2551748009161	13.8151010416493	14.1599195000021	13.8985065703916	14.0631695279817	13.9966508444709	14.6410139195115	14.9231343207059	13.8883842486646	14.9449837738656	14.2413786654768	15.2969963182529	14.8304041684772	13.4406247182865	14.1185777536314	14.4561123312982
WBIC_2664500	15.6886625953438	16.1299333317116	15.696437643851	16.6166085034887	16.7464114215928	16.0902609252858	15.7339652851844	16.1834000783927	16.3349836446547	16.7059133605758	15.906487201918	15.7894064889343	16.63265003635	15.3262314829884	15.1701776811467	16.0866534713251	16.2213236842426	16.2558219537917	16.1540300847027	16.3553254481131	15.4107692910538	15.6038224090037	15.7203540704384	16.3806293036748	16.5814211951585	15.3590290903201	16.743373589428	16.4972243033097	16.710634924572	16.0265523613042	14.7482290924557	16.4786029075886	15.8445974832712
WBIC_2671400	14.1571512735115	14.3542703939231	13.5198110393578	14.9557778495431	14.6627924330372	14.3631370713959	14.2658363929071	15.0191548239694	14.8636506556112	14.2479886129127	13.1168800936161	14.4238370902043	14.5295660693235	13.549219385259	13.6179185093537	13.8569480563597	14.3792500846601	14.5833186285405	14.1586268887286	14.873434956824	13.831868429872	14.2122660535289	13.2016129824508	14.7382874988251	14.886287214814	13.9976358981189	14.9913527924875	13.9824119935459	15.1629165444484	14.7432206897034	13.7643311855255	14.6077593288086	14.1043930977244
WBIC_302300	16.0888912451142	16.1938766434163	15.7955756784047	16.7145434533685	16.6685555158071	15.813101771712	15.9795339207805	16.490587526688	16.3873886789306	16.0269024625036	16.1603535508759	15.2201582969416	16.0909406377497	15.0052676784004	15.1514663739931	15.7869299716834	16.004434382699	16.040831859136	16.0141663070306	16.2189654691822	15.3855141991862	15.3776679371473	15.5268143221953	16.1647336606309	15.7686645063414	15.0464738240176	16.9799482192033	16.1469431554649	16.6420262067432	16.0965902315185	14.6089316572571	16.22436733489	15.7475161902396
WBIC_14400	16.4973450599482	17.125888880813	15.6465916235222	16.742086907615	16.9991541128002	16.2287243115977	16.7397161644639	17.2542974750177	16.2746264633471	15.932937712311	17.3419277431031	15.344124884851	17.1286164722391	14.6760716029139	15.4637569101239	16.2113269846791	16.8033020369929	16.7071957241117	15.8141401577922	17.4989690196243	16.4396165153534	16.2623115863991	16.0430785512168	17.4159872040377	15.9612819954826	16.7720252219638	17.9369572999473	14.6341315749115	17.8611720641167	18.2564751878368	15.8734346333321	17.7436086526561	16.128236090148
