WBICs	hc_0.5	hc_1.52631578947368	hc_2.55263157894737	hc_3.57894736842105	hc_4.60526315789474	hc_5.63157894736842	hc_6.65789473684211	hc_7.68421052631579	hc_8.71052631578947	hc_9.73684210526316	hc_10.7631578947368	hc_11.7894736842105	hc_12.8157894736842	hc_13.8421052631579	hc_14.8684210526316	hc_15.8947368421053	hc_16.9210526315789	hc_17.9473684210526	hc_18.9736842105263	hc_20
1001400	14.4121105361595	14.3270688273382	12.9964310574596	12.7308947434429	12.4693727157519	12.0873301898895	12.0486765040566	12.0630728194056	11.8038304706528	11.7452624922192	11.7759273780546	11.6751025891067	11.5836685454872	11.4762462736069	11.4289342294564	11.4426368055643	11.4426368055643	11.4426368055643	11.4426368055643	11.4426368055643
1002300	20.3493623096401	20.3581819567683	20.3226761816334	20.3366289688303	20.2654557767112	20.2382346224245	20.235011952591	20.2023625786353	20.2177934429989	20.186941966892	20.175587959863	20.1795409996731	20.1683408199466	20.1688135845343	20.1688135845343	20.1688135845343	20.1688135845343	20.1688135845343	20.1688135845343	20.1688135845343
1002400	20.2658240524568	20.2671758794056	20.2398830346605	20.2149763084383	20.211080083039	20.1787075917259	20.1271596267965	20.121327466512	20.1094790543145	20.1237880925446	20.1368000318396	20.128727328493	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152	20.1092180074152
1003000	20.6124485083129	20.6124485083129	20.6124485083129	20.6124485083129	20.6124485083129	20.6124485083129	20.604117679374	20.6007028026459	20.6007339616953	20.6007339616953	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958	20.6007804927958
1003100	19.8664768755497	19.8664768755497	19.8664768755497	19.8664768755497	19.8633881037056	19.861832791508	19.8612011739789	19.8535898843065	19.8471206664693	19.8341311854222	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065	19.8340472609065
1004500	20.5679672891341	20.5622356851155	20.554431314873	20.5517561477856	20.5496927926444	20.5338571735385	20.5200329574478	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019	20.5366173150019
1004600	6.51867978254306	6.46822645798959	6.54719795925421	6.56714403644919	6.35292261630643	6.32108233709053	6.26331171248589	6.14900331419357	6.11197740496056	6.11881693835203	6.04566461570315	6.05526193281374	6.0253412122693	6.03435328920802	5.97884940131409	6.02511285542705	5.95779926511128	5.96552304489531	5.99345875895924	5.99345875895924
1005200	19.3890801665268	19.3890799112142	19.3478464099032	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834	19.3408527082834
1005400	14.8432818270711	14.2443722052974	12.8089980214003	12.9827852427098	13.1442795769532	12.832602991769	12.5178472023502	11.9910655774343	11.9581121810417	11.8490267356064	11.7298713897182	11.2364069395516	10.9545205592969	10.282174883653	10.0540115355096	10.0540115355096	10.0540115355096	10.0540115355096	10.0540115355096	10.0540115355096
1005600	9.98653527947871	9.30124476761215	8.99733087677603	9.45807711508909	8.36712864183993	8.85632449030537	8.35799180334001	8.22951437193039	8.05698262633267	8.03789823212638	7.89947356099286	7.82240881005241	7.83528774276225	7.87981917894428	7.85433719458529	7.83690568715894	7.83690568715894	7.83690568715894	7.83690568715894	7.83690568715894
