"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"	"WTEMP_MOD"
804600	"1996-05-29"	7	12.9	12.9903889259048
804600	"1996-05-29"	8	12.9	10.6791061530646
804600	"1996-05-29"	9	12.9	9.65057980224431
804600	"1996-05-29"	10	12.9	9.07290296029552
804600	"1996-05-29"	11	12.9	8.91606171988674
804600	"1996-05-29"	12	12.9	8.85675540386388
804600	"1996-05-29"	13	12.9	8.8079709576868
804600	"1996-05-29"	14	12.9	8.77256796613968
804600	"1996-05-29"	15	11.8	8.75621855159184
804600	"1996-05-29"	16	11.4	8.75190097182011
804600	"1996-05-29"	17	11.2	8.75152128440704
804600	"1996-05-29"	18	11.1	8.75144777312792
804600	"1996-05-29"	19	10.9	8.75144716180519
804600	"1996-05-29"	20	10.8	8.75144712640466
804600	"1996-05-29"	21	10.8	8.75144708970726
804600	"1996-05-29"	21.5	10.7	NA
804600	"1996-06-10"	0	16.1	17.37995626593
804600	"1996-06-10"	1	15.8	17.3620182669953
804600	"1996-06-10"	2	15.7	16.7499960329194
804600	"1996-06-10"	3	15.7	16.3203273503717
804600	"1996-06-10"	4	15.6	16.1253324682822
804600	"1996-06-10"	5	15.6	15.3862551751204
804600	"1996-06-10"	6	15.6	13.2754029608288
804600	"1996-06-10"	7	15.6	12.5768359054364
804600	"1996-06-10"	8	15.6	11.1766638902273
804600	"1996-06-10"	9	15.6	9.86984843196351
804600	"1996-06-10"	10	15.1	9.11031184468152
804600	"1996-06-10"	11	14.6	8.96267966443946
804600	"1996-06-10"	12	13.4	8.88609529014648
804600	"1996-06-10"	13	12.8	8.82664455739678
804600	"1996-06-10"	14	12.6	8.78246876127137
804600	"1996-06-10"	15	12.5	8.75940705199157
804600	"1996-06-10"	16	12.3	8.75237165135941
804600	"1996-06-10"	17	12.2	8.75162180253965
804600	"1996-06-10"	18	12.1	8.75145011674774
804600	"1996-06-10"	19	12.1	8.75144723876795
804600	"1996-06-10"	20	12	8.7514471529138
804600	"1996-06-26"	0	21.6	22.3699866724826
804600	"1996-06-26"	1	21.5	22.3697902864549
804600	"1996-06-26"	2	21.5	22.3448949030961
804600	"1996-06-26"	3	21.5	22.3338839485081
804600	"1996-06-26"	4	21.4	17.1241807289317
804600	"1996-06-26"	5	21.1	15.4496629233415
804600	"1996-06-26"	6	17.4	13.6666258032052
804600	"1996-06-26"	7	16.4	12.5514297873952
804600	"1996-06-26"	8	15.9	11.3151122047678
804600	"1996-06-26"	9	15.3	9.96894179700857
804600	"1996-06-26"	10	14.7	9.17081241851339
804600	"1996-06-26"	11	13.8	8.99534693362936
804600	"1996-06-26"	12	13.3	8.90640436179878
804600	"1996-06-26"	13	12.9	8.83971623249745
804600	"1996-06-26"	14	12.7	8.79033035518033
804600	"1996-06-26"	15	12.4	8.76275693630763
804600	"1996-06-26"	16	12.4	8.75307856809959
804600	"1996-06-26"	17	12.3	8.75180474755247
804600	"1996-06-26"	18	12.3	8.75145837883646
804600	"1996-06-26"	19	12.2	8.75144751980218
804600	"1996-06-26"	20	12.2	8.75144720329325
804600	"1996-07-09"	0	23.5	22.476441839121
804600	"1996-07-09"	1	23.6	22.4763947256471
804600	"1996-07-09"	2	23.6	22.4760967197025
804600	"1996-07-09"	3	23.6	22.4451425263363
804600	"1996-07-09"	4	23.6	19.7875095072109
804600	"1996-07-09"	5	23.6	15.9023684605825
804600	"1996-07-09"	6	23.5	13.8665035892361
804600	"1996-07-09"	7	20.3	12.6027326538479
804600	"1996-07-09"	8	18	11.4569700473508
804600	"1996-07-09"	9	15.6	10.1960779946263
804600	"1996-07-09"	10	14.7	9.2322252899974
804600	"1996-07-09"	11	13.8	9.03555606704436
804600	"1996-07-09"	12	13.3	8.93374350779702
804600	"1996-07-09"	13	13.1	8.85594314627428
804600	"1996-07-09"	14	12.8	8.79842282717444
804600	"1996-07-09"	15	12.6	8.76577292147332
804600	"1996-07-09"	16	12.6	8.75369275137652
804600	"1996-07-09"	17	12.6	8.75197071551479
804600	"1996-07-09"	18	12.5	8.75146910778085
804600	"1996-07-09"	19	12.6	8.75144801920437
804600	"1996-07-22"	0	23.2	23.1622549089437
804600	"1996-07-22"	1	23.2	23.1622354288626
804600	"1996-07-22"	2	23.2	23.162127287575
804600	"1996-07-22"	3	23.2	23.1531182401847
804600	"1996-07-22"	4	23.2	22.1596981896988
804600	"1996-07-22"	5	23.2	19.5284591006089
804600	"1996-07-22"	6	23.1	14.4878625458719
804600	"1996-07-22"	7	21.9	12.6328508415835
804600	"1996-07-22"	7.5	19.7	12.046908088903
804600	"1996-07-22"	8	18.6	11.524773952542
804600	"1996-07-22"	9	15.9	10.2654549249583
804600	"1996-07-22"	10	14.7	9.31123889495819
804600	"1996-07-22"	11	14.1	9.07882076690144
804600	"1996-07-22"	12	13.2	8.95870532455469
804600	"1996-07-22"	13	13	8.87030109262133
804600	"1996-07-22"	14	12.8	8.80554259199665
804600	"1996-07-22"	15	12.6	8.7685447533176
804600	"1996-07-22"	16	12.5	8.75432976940903
804600	"1996-07-22"	17	12.4	8.7521583144627
804600	"1996-07-22"	18	12.4	8.75148441266469
804600	"1996-08-05"	0	23.6	23.7585398652353
804600	"1996-08-05"	1	23.5	23.7585003622653
804600	"1996-08-05"	2	23.5	23.7570896215821
804600	"1996-08-05"	3	23.3	23.7564470537842
804600	"1996-08-05"	4	22.8	23.6427040686436
804600	"1996-08-05"	5	22.6	21.7715177642182
804600	"1996-08-05"	6	22.6	15.023713264295
804600	"1996-08-05"	7	22.5	12.7341135784673
804600	"1996-08-05"	8	22.1	11.5696379863648
804600	"1996-08-05"	9	16.8	10.6024604209363
804600	"1996-08-05"	10	15.3	9.39031516585012
804600	"1996-08-05"	11	14.1	9.12777901946059
804600	"1996-08-05"	12	13.2	8.99186338215122
804600	"1996-08-05"	13	12.9	8.88831199958709
804600	"1996-08-05"	14	12.7	8.81378735053468
804600	"1996-08-05"	15	12.7	8.77151826599958
