WBIC	YYYY	ice.off.DoY	ice.on.DoY
1000400	1989	112.27764352	319.509822607994
1000400	1990	113.24436152	324.201798367994
1000400	1991	103.56162252	318.846842967994
1000400	1992	113.78500852	319.616130847994
1000400	1993	111.54689852	317.834146127994
1000400	1994	110.46177052	327.184290847994
1000400	1995	105.45217052	314.664983527994
1000400	1996	124.23050252	318.035113407994
1000400	1997	115.76708352	315.387308247994
1000400	1998	105.78863152	342.755253127994
1000400	1999	105.42827452	334.335894487994
1000400	2000	92.88336552	324.550008407994
1000400	2001	108.10525052	341.505908687995
1000400	2002	111.76793652	315.603671767994
1000400	2003	107.34271852	319.878316727995
1000400	2004	108.93862352	329.077838007995
1000400	2005	106.08626152	323.931343967995
1000400	2006	109.00625452	326.333866647994
1000400	2007	102.77711152	322.930296327994
1000400	2008	112.26079152	325.200972487994
